id,gen,varsta,educatie,regiune,mediu,salariu_lunar_net_lei,promovat
2023,M,39,Liceu,Centru,Rural,3605.0,Nu
2024,F,36,Profesional,Vest,Urban,4541.0,Nu
2025,M,36,Profesional,Sud-Est,Urban,4307.0,Da
2026,M,50,Liceu,Sud-Muntenia,Urban,4927.0,Da
2027,M,43,Liceu,Sud-Muntenia,Rural,2828.0,Da
2028,F,37,Profesional,Vest,Urban,5465.0,Da
2029,F,53,Masterat,Centru,Urban,7399.0,Nu
2030,M,32,Profesional,Sud-Vest Oltenia,Rural,3686.0,Nu
2031,F,33,Masterat,Sud-Muntenia,Rural,5259.0,Nu
2032,F,34,Facultate,Sud-Est,Urban,4444.0,Nu
2033,M,52,Facultate,Bucuresti-Ilfov,Rural,7060.0,Da
2034,F,55,Profesional,Centru,Urban,5326.0,Da
2035,M,49,Liceu,Nord-Est,Urban,3464.0,Nu
2036,M,27,Liceu,Sud-Est,Rural,3425.0,Da
2037,M,37,Postliceal,Centru,Urban,4559.0,Nu
2038,M,61,Gimnaziu,Sud-Vest Oltenia,Urban,4679.0,Nu
2039,M,51,Liceu,Nord-Est,Rural,2690.0,Nu
2040,M,46,Facultate,Nord-Est,Urban,6537.0,Da
2041,F,29,Facultate,Vest,Urban,5467.0,Da
2042,M,43,Facultate,Sud-Vest Oltenia,Urban,5790.0,Da
2043,M,32,Primar,Sud-Est,Rural,2200.0,Da
2044,F,54,Liceu,Nord-Vest,Rural,3355.0,Nu
2045,M,47,Liceu,Sud-Muntenia,Urban,3488.0,Nu
2046,F,50,Primar,Nord-Vest,Urban,2989.0,Nu
2047,M,24,Facultate,Centru,Urban,6572.0,Nu
2048,F,56,Facultate,Bucuresti-Ilfov,Rural,7291.0,Nu
2049,F,53,Liceu,Nord-Est,Urban,4684.0,Nu
2050,M,19,Facultate,Nord-Vest,Rural,5676.0,Nu
2051,M,26,Gimnaziu,Centru,Rural,2200.0,Nu
2052,F,40,Primar,Nord-Est,Rural,2200.0,Da
2053,M,36,Liceu,Centru,Rural,3402.0,Nu
2054,F,31,Facultate,Bucuresti-Ilfov,Rural,5270.0,Nu
2055,M,23,Primar,Sud-Muntenia,Rural,2200.0,Nu
2056,F,67,Postliceal,Nord-Est,Urban,4164.0,Nu
2057,M,66,Liceu,Nord-Est,Rural,3266.0,Nu
2058,M,62,Facultate,Nord-Est,Rural,4634.0,Da
2059,M,36,Profesional,Bucuresti-Ilfov,Rural,5093.0,Da
2060,M,58,Profesional,Centru,Urban,5528.0,Nu
2061,F,43,Facultate,Bucuresti-Ilfov,Urban,6662.0,Nu
2062,M,52,Masterat,Nord-Vest,Urban,8165.0,Da
2063,M,38,Profesional,Bucuresti-Ilfov,Urban,5527.0,Da
2064,F,45,Facultate,Centru,Rural,4223.0,Da
2065,F,61,Liceu,Sud-Est,Rural,2489.0,Da
2066,F,45,Gimnaziu,Sud-Muntenia,Rural,2200.0,Nu
2067,M,30,Primar,Bucuresti-Ilfov,Rural,4548.0,Nu
2068,F,52,Gimnaziu,Bucuresti-Ilfov,Rural,4947.0,Nu
2069,F,30,Gimnaziu,Bucuresti-Ilfov,Urban,5308.0,Nu
2070,F,43,Liceu,Centru,Urban,4670.0,Da
2071,M,29,Liceu,Nord-Est,Urban,4246.0,Nu
2072,F,28,Masterat,Bucuresti-Ilfov,Rural,,Nu
2073,M,67,Liceu,Sud-Muntenia,Urban,4528.0,Da
2074,M,53,Facultate,Vest,Rural,,Da
2075,M,39,Liceu,Vest,Rural,4287.0,Da
2076,F,24,Liceu,Sud-Vest Oltenia,Rural,3025.0,Da
2077,F,54,Masterat,Bucuresti-Ilfov,Urban,7136.0,Da
2078,F,52,Liceu,Vest,Urban,5035.0,Nu
2079,M,41,Facultate,Sud-Est,Urban,6242.0,Da
2080,F,56,Liceu,Sud-Muntenia,Rural,3747.0,Nu
2081,M,50,Liceu,Sud-Est,Urban,4778.0,Nu
2082,M,32,Postliceal,Nord-Vest,Rural,4302.0,Nu
2083,M,41,Masterat,Sud-Est,Rural,5730.0,Nu
2084,M,47,Masterat,Sud-Est,Rural,5767.0,Da
2085,F,53,Gimnaziu,Sud-Vest Oltenia,Rural,2282.0,Da
2086,F,43,Primar,Nord-Vest,Rural,,Nu
2087,M,44,Primar,Nord-Vest,Urban,3878.0,Nu
2088,F,59,Liceu,Bucuresti-Ilfov,Rural,4248.0,Nu
2089,M,29,Masterat,Vest,Urban,8613.0,Nu
2090,F,37,Liceu,Nord-Vest,Rural,3283.0,Nu
2091,M,24,Postliceal,Nord-Vest,Urban,3721.0,Nu
2092,F,37,Gimnaziu,Nord-Est,Urban,3793.0,Da
2093,F,45,Facultate,Nord-Vest,Urban,5956.0,Da
2094,M,37,Facultate,Nord-Est,Rural,4286.0,Da
2095,F,39,Postliceal,Nord-Est,Urban,3427.0,Da
2096,F,45,Masterat,Sud-Vest Oltenia,Urban,5025.0,Da
2097,F,56,Postliceal,Nord-Vest,Urban,5082.0,Nu
2098,M,34,Liceu,Sud-Muntenia,Urban,3628.0,Nu
2099,M,49,Gimnaziu,Centru,Urban,4380.0,Nu
2100,M,52,Gimnaziu,Nord-Est,Rural,2942.0,Da
2101,M,18,Liceu,Sud-Muntenia,Urban,3507.0,Da
2102,F,34,Liceu,Bucuresti-Ilfov,Urban,5635.0,Nu
2103,F,56,Profesional,Sud-Muntenia,Rural,2916.0,Da
2104,F,35,Facultate,Nord-Est,Urban,6062.0,Nu
2105,M,26,Facultate,Bucuresti-Ilfov,Rural,5757.0,Da
2106,M,26,Gimnaziu,Sud-Muntenia,Rural,4359.0,Da
2107,M,42,Facultate,Sud-Vest Oltenia,Urban,5916.0,Nu
2108,M,46,Liceu,Bucuresti-Ilfov,Rural,5487.0,Da
2109,F,66,Liceu,Nord-Est,Rural,2649.0,Nu
2110,F,49,Gimnaziu,Centru,Rural,2686.0,Nu
2111,M,48,Facultate,Vest,Rural,5460.0,Da
2112,M,49,Facultate,Sud-Est,Urban,7143.0,Nu
2113,F,39,Masterat,Centru,Rural,5013.0,Nu
2114,F,27,Facultate,Centru,Urban,5446.0,Da
2115,M,45,Masterat,Nord-Vest,Urban,8249.0,Da
2116,F,49,Liceu,Sud-Muntenia,Rural,2586.0,Nu
2117,M,57,Facultate,Nord-Est,Urban,6099.0,Nu
2118,M,36,Gimnaziu,Bucuresti-Ilfov,Rural,4733.0,Da
2119,M,24,Facultate,Sud-Vest Oltenia,Rural,4530.0,Nu
2120,M,47,Gimnaziu,Centru,Urban,5078.0,Nu
2121,F,38,Facultate,Sud-Muntenia,Rural,4704.0,Da
2122,F,49,Postliceal,Nord-Est,Urban,5083.0,Nu
2123,F,34,Facultate,Vest,Urban,,Da
2124,M,41,Gimnaziu,Vest,Rural,4302.0,Nu
2125,M,18,Facultate,Vest,Rural,5524.0,Da
2126,M,37,Facultate,Nord-Est,Urban,6083.0,Da
2127,F,29,Facultate,Centru,Rural,3590.0,Nu
2128,M,32,Facultate,Nord-Vest,Rural,4669.0,Nu
2129,M,48,Liceu,Sud-Vest Oltenia,Rural,4138.0,Nu
2130,M,40,Gimnaziu,Sud-Muntenia,Rural,2200.0,Nu
2131,F,51,Masterat,Bucuresti-Ilfov,Urban,7864.0,Nu
2132,F,36,Liceu,Nord-Vest,Rural,2203.0,Nu
2133,F,33,Masterat,Nord-Vest,Rural,4696.0,Nu
2134,M,37,Facultate,Vest,Urban,6878.0,Nu
2135,M,59,Facultate,Nord-Est,Rural,5355.0,Da
2136,M,41,Liceu,Bucuresti-Ilfov,Urban,6792.0,Nu
2137,F,36,Facultate,Vest,Urban,5791.0,Nu
2138,F,60,Facultate,Bucuresti-Ilfov,Urban,7527.0,Da
2139,M,41,Liceu,Nord-Est,Rural,2876.0,Nu
2140,F,58,Postliceal,Sud-Muntenia,Urban,3920.0,Nu
2141,M,45,Masterat,Bucuresti-Ilfov,Rural,7155.0,Nu
2142,F,50,Facultate,Bucuresti-Ilfov,Rural,5297.0,Da
2143,F,51,Masterat,Sud-Vest Oltenia,Rural,4436.0,Nu
2144,F,40,Liceu,Sud-Muntenia,Urban,4951.0,Da
2145,F,28,Profesional,Sud-Est,Rural,2509.0,Nu
2146,F,45,Gimnaziu,Sud-Vest Oltenia,Rural,2271.0,Da
2147,M,46,Profesional,Bucuresti-Ilfov,Urban,5545.0,Nu
2148,F,34,Liceu,Vest,Rural,3581.0,Da
2149,F,40,Liceu,Nord-Est,Urban,3688.0,Nu
2150,M,18,Gimnaziu,Vest,Rural,3837.0,Nu
2151,M,31,Facultate,Nord-Vest,Rural,5584.0,Da
2152,F,29,Facultate,Nord-Est,Rural,3459.0,Nu
2153,F,43,Facultate,Bucuresti-Ilfov,Urban,6744.0,Nu
2154,F,50,Masterat,Bucuresti-Ilfov,Rural,7053.0,Da
2155,M,33,Facultate,Vest,Rural,4889.0,Da
2156,M,40,Facultate,Vest,Urban,5844.0,Da
2157,F,44,Profesional,Bucuresti-Ilfov,Urban,5518.0,Da
2158,M,53,Facultate,Bucuresti-Ilfov,Urban,7640.0,Nu
2159,M,36,Facultate,Sud-Muntenia,Urban,4975.0,Da
2160,F,29,Profesional,Sud-Vest Oltenia,Rural,2410.0,Nu
2161,F,22,Postliceal,Nord-Est,Urban,3432.0,Nu
2162,M,56,Facultate,Centru,Rural,5365.0,Nu
2163,M,43,Gimnaziu,Bucuresti-Ilfov,Urban,5449.0,Nu
2164,F,35,Postliceal,Nord-Est,Urban,4079.0,Da
2165,M,55,Profesional,Sud-Vest Oltenia,Rural,3531.0,Nu
2166,F,51,Postliceal,Vest,Urban,5706.0,Nu
2167,F,38,Primar,Sud-Est,Urban,3321.0,Nu
2168,M,47,Facultate,Bucuresti-Ilfov,Rural,6670.0,Da
2169,F,33,Gimnaziu,Sud-Vest Oltenia,Urban,5060.0,Da
2170,F,50,Liceu,Sud-Muntenia,Urban,3787.0,Da
2171,F,39,Doctorat,Nord-Vest,Urban,7026.0,Nu
2172,M,52,Facultate,Nord-Vest,Urban,7734.0,Da
2173,M,32,Gimnaziu,Bucuresti-Ilfov,Urban,5662.0,Da
2174,F,67,Profesional,Sud-Est,Urban,3824.0,Nu
2175,M,38,Facultate,Bucuresti-Ilfov,Rural,7227.0,Nu
2176,M,51,Facultate,Nord-Est,Rural,4894.0,Da
2177,M,29,Masterat,Nord-Vest,Urban,8246.0,Nu
2178,M,37,Facultate,Sud-Muntenia,Rural,4512.0,Da
2179,F,41,Masterat,Nord-Est,Urban,6707.0,Da
2180,F,51,Profesional,Nord-Vest,Urban,3767.0,Nu
2181,M,43,Masterat,Bucuresti-Ilfov,Urban,7651.0,Da
2182,F,21,Masterat,Sud-Muntenia,Urban,4649.0,Nu
2183,F,54,Facultate,Centru,Urban,6002.0,Da
2184,F,30,Profesional,Centru,Rural,3443.0,Nu
2185,F,48,Facultate,Nord-Vest,Rural,5068.0,Da
2186,F,18,Liceu,Nord-Est,Urban,2200.0,Da
2187,M,43,Profesional,Sud-Muntenia,Urban,4342.0,Da
2188,F,52,Profesional,Nord-Vest,Urban,3441.0,Nu
2189,F,40,Postliceal,Bucuresti-Ilfov,Urban,5648.0,Da
2190,M,39,Masterat,Nord-Vest,Rural,6598.0,Da
2191,M,50,Facultate,Sud-Vest Oltenia,Urban,5977.0,Da
2192,M,46,Liceu,Bucuresti-Ilfov,Rural,5281.0,Nu
2193,M,43,Liceu,Sud-Muntenia,Urban,4378.0,Da
2194,M,60,Liceu,Nord-Vest,Urban,5637.0,Da
2195,M,32,Liceu,Sud-Muntenia,Urban,4341.0,Da
2196,F,40,Postliceal,Nord-Vest,Rural,3715.0,Da
2197,M,60,Facultate,Nord-Est,Rural,3827.0,Nu
2198,M,32,Gimnaziu,Nord-Vest,Urban,4545.0,Nu
2199,M,47,Primar,Nord-Vest,Urban,4959.0,Nu
2200,F,61,Profesional,Sud-Muntenia,Urban,5021.0,Nu
2201,F,43,Facultate,Sud-Muntenia,Urban,5532.0,Da
2202,F,67,Masterat,Centru,Urban,6270.0,Nu
2203,F,39,Postliceal,Bucuresti-Ilfov,Urban,5581.0,Da
2204,M,18,Gimnaziu,Sud-Est,Rural,2736.0,Nu
2205,F,38,Doctorat,Sud-Vest Oltenia,Rural,,Nu
2206,F,40,Profesional,Centru,Urban,3465.0,Nu
2207,F,24,Postliceal,Sud-Muntenia,Urban,3823.0,Nu
2208,M,40,Liceu,Bucuresti-Ilfov,Urban,,Da
2209,F,67,Liceu,Nord-Est,Urban,3718.0,Nu
2210,F,32,Profesional,Bucuresti-Ilfov,Urban,5008.0,Da
2211,F,48,Profesional,Centru,Urban,4140.0,Nu
2212,F,32,Masterat,Bucuresti-Ilfov,Rural,5957.0,Nu
2213,M,37,Masterat,Sud-Vest Oltenia,Urban,7706.0,Da
2214,M,56,Liceu,Centru,Rural,4001.0,Da
2215,M,53,Gimnaziu,Nord-Vest,Urban,4536.0,Nu
2216,F,46,Liceu,Nord-Vest,Rural,2996.0,Da
2217,F,54,Profesional,Centru,Urban,3723.0,Nu
2218,M,46,Masterat,Sud-Est,Rural,6011.0,Da
2219,F,42,Facultate,Sud-Est,Rural,3997.0,Da
2220,F,34,Masterat,Sud-Vest Oltenia,Rural,4454.0,Da
2221,F,20,Postliceal,Sud-Vest Oltenia,Rural,2571.0,Nu
2222,F,60,Postliceal,Sud-Est,Rural,3078.0,Nu
2223,M,22,Facultate,Sud-Muntenia,Rural,4399.0,Da
2224,M,34,Liceu,Sud-Muntenia,Urban,4777.0,Da
2225,F,39,Gimnaziu,Sud-Est,Rural,3172.0,Nu
2226,F,31,Liceu,Nord-Est,Urban,3683.0,Da
2227,F,33,Facultate,Sud-Est,Urban,5322.0,Da
2228,F,59,Primar,Vest,Rural,2200.0,Nu
2229,M,50,Facultate,Sud-Muntenia,Rural,5108.0,Da
2230,F,43,Facultate,Vest,Rural,4881.0,Nu
2231,F,18,Liceu,Nord-Est,Rural,2507.0,Nu
2232,M,48,Liceu,Bucuresti-Ilfov,Urban,7382.0,Nu
2233,F,38,Liceu,Centru,Urban,5051.0,Da
2234,M,56,Gimnaziu,Bucuresti-Ilfov,Urban,5601.0,Nu
2235,F,45,Liceu,Centru,Rural,2837.0,Da
2236,F,18,Doctorat,Vest,Rural,6388.0,Nu
2237,M,54,Profesional,Bucuresti-Ilfov,Rural,5760.0,Da
2238,F,55,Facultate,Bucuresti-Ilfov,Urban,6672.0,Da
2239,F,39,Liceu,Nord-Vest,Rural,3120.0,Da
2240,F,39,Liceu,Sud-Muntenia,Rural,3127.0,Nu
2241,F,46,Liceu,Sud-Vest Oltenia,Urban,3300.0,Da
2242,F,32,Facultate,Nord-Vest,Urban,5754.0,Nu
2243,M,49,Masterat,Sud-Muntenia,Rural,6405.0,Nu
2244,F,44,Facultate,Centru,Urban,6488.0,Da
2245,F,49,Liceu,Sud-Muntenia,Rural,3068.0,Nu
2246,F,56,Liceu,Sud-Est,Urban,4693.0,Da
2247,F,58,Gimnaziu,Vest,Rural,2395.0,Nu
2248,F,54,Facultate,Nord-Est,Rural,4377.0,Nu
2249,M,45,Masterat,Nord-Est,Urban,6057.0,Da
2250,F,45,,Sud-Vest Oltenia,Rural,2328.0,Da
2251,M,57,Liceu,Nord-Est,Urban,3788.0,Da
2252,F,55,Liceu,Sud-Muntenia,Rural,3738.0,Da
2253,F,30,Facultate,Sud-Est,Rural,3574.0,Da
2254,F,31,Facultate,Bucuresti-Ilfov,Rural,6689.0,Nu
2255,F,23,Postliceal,Sud-Muntenia,Rural,2648.0,Nu
2256,M,27,Facultate,Bucuresti-Ilfov,Rural,5266.0,Da
2257,M,58,Postliceal,Bucuresti-Ilfov,Urban,6314.0,Nu
2258,M,29,Liceu,Bucuresti-Ilfov,Rural,5265.0,Da
2259,M,41,Liceu,Nord-Vest,Urban,3547.0,Nu
2260,F,55,Facultate,Sud-Vest Oltenia,Rural,4626.0,Da
2261,F,36,Facultate,Centru,Rural,4587.0,Da
2262,M,48,Liceu,Nord-Est,Urban,3692.0,Da
2263,F,28,Liceu,Vest,Urban,4001.0,Da
2264,F,38,Facultate,Bucuresti-Ilfov,Urban,6601.0,Da
2265,M,51,Liceu,Sud-Est,Urban,5318.0,Nu
2266,F,39,Liceu,Sud-Muntenia,Urban,4033.0,Nu
2267,F,57,Liceu,Sud-Muntenia,Urban,4869.0,Da
2268,M,37,Facultate,Vest,Rural,6474.0,Nu
2269,F,34,Postliceal,Sud-Muntenia,Urban,3047.0,Nu
2270,M,28,Liceu,Nord-Vest,Rural,3843.0,Da
2271,F,34,Liceu,Sud-Vest Oltenia,Rural,2215.0,Nu
2272,F,51,Liceu,Nord-Vest,Urban,4583.0,Da
2273,F,35,Profesional,Bucuresti-Ilfov,Rural,4117.0,Nu
2274,F,49,Profesional,Sud-Est,Urban,5317.0,Da
2275,M,56,Liceu,Centru,Urban,4479.0,Da
2276,M,59,Liceu,Sud-Muntenia,Urban,4880.0,Nu
2277,F,39,Masterat,Nord-Vest,Rural,5407.0,Nu
2278,M,53,Facultate,Nord-Est,Urban,6034.0,Da
2279,M,25,Gimnaziu,Vest,Urban,3820.0,Nu
2280,F,20,Gimnaziu,Centru,Rural,3136.0,Nu
2281,M,31,Masterat,Centru,Rural,6360.0,Da
2282,F,53,,Centru,Rural,3486.0,Nu
2283,M,38,Liceu,Nord-Vest,Urban,4119.0,Da
2284,F,46,Liceu,Bucuresti-Ilfov,Urban,6838.0,Nu
2285,M,45,Facultate,Nord-Est,Urban,5503.0,Da
2286,M,59,Liceu,Nord-Vest,Urban,4372.0,Da
2287,F,41,Gimnaziu,Centru,Rural,3753.0,Nu
2288,F,31,Postliceal,Nord-Est,Urban,3400.0,Da
2289,M,32,Facultate,Bucuresti-Ilfov,Rural,7244.0,Nu
2290,F,35,Postliceal,Sud-Est,Rural,3197.0,Nu
2291,M,24,Primar,Bucuresti-Ilfov,Rural,4135.0,Nu
2292,F,40,Masterat,Centru,Rural,6672.0,Nu
2293,F,32,Facultate,Nord-Vest,Rural,3630.0,Da
2294,M,54,Liceu,Vest,Urban,5312.0,Da
2295,M,36,Postliceal,Sud-Muntenia,Urban,4590.0,Nu
2296,F,48,Facultate,Sud-Vest Oltenia,Urban,4378.0,Da
2297,M,44,Primar,Bucuresti-Ilfov,Urban,6418.0,Nu
2298,M,46,Facultate,Sud-Muntenia,Urban,6008.0,Nu
2299,F,41,Profesional,Bucuresti-Ilfov,Rural,5191.0,Nu
2300,M,52,Postliceal,Sud-Muntenia,Urban,4871.0,Nu
2301,M,27,Facultate,Nord-Est,Rural,4524.0,Da
2302,F,49,Facultate,Nord-Vest,Urban,6580.0,Da
2303,M,46,Masterat,Sud-Vest Oltenia,Rural,6879.0,Da
2304,F,42,Primar,Sud-Est,Urban,4269.0,Da
2305,F,42,Masterat,Sud-Vest Oltenia,Rural,5915.0,Da
2306,F,46,Profesional,Bucuresti-Ilfov,Rural,4758.0,Nu
2307,F,46,Facultate,Bucuresti-Ilfov,Rural,6613.0,Da
2308,F,50,Masterat,Bucuresti-Ilfov,Urban,6879.0,Nu
2309,M,36,Liceu,Bucuresti-Ilfov,Urban,6780.0,Da
2310,F,41,Liceu,Nord-Est,Urban,3256.0,Da
2311,F,43,Facultate,Bucuresti-Ilfov,Rural,5908.0,Nu
2312,M,59,Primar,Bucuresti-Ilfov,Urban,5743.0,Nu
2313,F,43,Profesional,Centru,Rural,3806.0,Nu
2314,F,50,Primar,Bucuresti-Ilfov,Urban,4277.0,Nu
2315,M,37,,Nord-Est,Rural,2675.0,Da
2316,M,56,Facultate,Bucuresti-Ilfov,Urban,8286.0,Da
2317,M,27,Liceu,Nord-Est,Rural,2232.0,Nu
2318,F,43,Profesional,Sud-Muntenia,Urban,3220.0,Nu
2319,F,37,Liceu,Sud-Est,Rural,2408.0,Nu
2320,M,45,Facultate,Centru,Urban,5865.0,Da
2321,F,31,Postliceal,Centru,Urban,4375.0,Nu
2322,M,40,Gimnaziu,Centru,Urban,3798.0,Da
2323,M,24,Facultate,Sud-Vest Oltenia,Urban,5342.0,Da
2324,F,27,Facultate,Sud-Muntenia,Rural,3694.0,Nu
2325,M,41,Profesional,Bucuresti-Ilfov,Urban,6240.0,Da
2326,F,35,Postliceal,Sud-Muntenia,Rural,3974.0,Da
2327,F,46,Facultate,Nord-Est,Urban,4858.0,Nu
2328,F,38,Doctorat,Sud-Muntenia,Urban,6568.0,Da
2329,F,42,Liceu,Bucuresti-Ilfov,Rural,5615.0,Nu
2330,F,18,Facultate,Nord-Est,Rural,3439.0,Da
2331,F,35,Gimnaziu,Nord-Est,Urban,2200.0,Nu
2332,M,18,Masterat,Centru,Urban,8184.0,Da
2333,F,45,Profesional,Nord-Vest,Urban,5378.0,Da
2334,F,42,Profesional,Nord-Est,Rural,2315.0,Da
2335,F,67,Liceu,Nord-Vest,Urban,3710.0,Nu
2336,F,28,Doctorat,Nord-Vest,Urban,6109.0,Nu
2337,F,45,Profesional,Vest,Urban,4188.0,Nu
2338,M,32,Masterat,Nord-Est,Rural,5187.0,Da
2339,F,45,Liceu,Nord-Vest,Urban,4889.0,Nu
2340,M,55,Liceu,Sud-Vest Oltenia,Rural,2807.0,Da
2341,M,44,Liceu,Sud-Vest Oltenia,Urban,4145.0,Da
2342,F,52,Primar,Bucuresti-Ilfov,Urban,,Nu
2343,F,54,Gimnaziu,Nord-Est,Urban,3439.0,Nu
2344,M,26,Postliceal,Vest,Rural,5300.0,Nu
2345,M,49,Liceu,Bucuresti-Ilfov,Urban,5898.0,Nu
2346,F,31,Masterat,Nord-Est,Urban,5564.0,Da
2347,F,33,Postliceal,Sud-Vest Oltenia,Rural,2563.0,Da
2348,M,49,Facultate,Sud-Est,Rural,4411.0,Da
2349,M,46,Postliceal,Nord-Vest,Urban,4896.0,Da
2350,M,51,Facultate,Bucuresti-Ilfov,Rural,7072.0,Da
2351,M,47,Profesional,Centru,Rural,4217.0,Da
2352,M,32,Postliceal,Centru,Rural,4576.0,Da
2353,F,38,Liceu,Nord-Est,Urban,3852.0,Nu
2354,F,39,Liceu,Nord-Est,Rural,3204.0,Nu
2355,F,36,Gimnaziu,Bucuresti-Ilfov,Urban,5426.0,Nu
2356,M,44,Gimnaziu,Bucuresti-Ilfov,Urban,5714.0,Da
2357,F,22,Gimnaziu,Nord-Est,Rural,2727.0,Nu
2358,M,49,Masterat,Nord-Vest,Rural,6429.0,Da
2359,F,51,Liceu,Sud-Muntenia,Urban,4430.0,Nu
2360,F,26,Postliceal,Bucuresti-Ilfov,Rural,4896.0,Nu
2361,M,55,Masterat,Nord-Vest,Urban,8225.0,Da
2362,M,34,Postliceal,Nord-Vest,Urban,5106.0,Nu
2363,F,44,Postliceal,Nord-Vest,Urban,5524.0,Nu
2364,M,47,Profesional,Sud-Muntenia,Rural,2723.0,Nu
2365,F,49,Masterat,Sud-Vest Oltenia,Urban,6408.0,Nu
2366,M,37,Masterat,Vest,Urban,6986.0,Da
2367,M,58,Facultate,Sud-Vest Oltenia,Rural,5485.0,Da
2368,M,50,Masterat,Sud-Muntenia,Urban,6850.0,Nu
2369,M,39,Facultate,Bucuresti-Ilfov,Urban,7912.0,Da
2370,M,64,Liceu,Bucuresti-Ilfov,Urban,7067.0,Da
2371,M,67,Facultate,Sud-Muntenia,Urban,5870.0,Da
2372,F,30,Liceu,Vest,Urban,4660.0,Nu
2373,F,59,Facultate,Sud-Est,Rural,5207.0,Da
2374,F,40,Profesional,Vest,Rural,3605.0,Da
2375,F,44,Profesional,Sud-Est,Rural,3017.0,Nu
2376,F,36,Liceu,Nord-Vest,Rural,3335.0,Nu
2377,F,43,Liceu,Bucuresti-Ilfov,Urban,5724.0,Da
2378,M,46,Liceu,Nord-Vest,Rural,4697.0,Nu
2379,F,40,Liceu,Bucuresti-Ilfov,Rural,4668.0,Nu
2380,F,47,Primar,Bucuresti-Ilfov,Rural,4177.0,Nu
2381,M,18,Liceu,Sud-Est,Rural,2644.0,Nu
2382,M,39,Facultate,Vest,Urban,5625.0,Da
2383,M,46,Liceu,Bucuresti-Ilfov,Rural,5378.0,Nu
2384,M,35,Liceu,Bucuresti-Ilfov,Urban,5348.0,Nu
2385,M,34,Facultate,Nord-Est,Urban,4696.0,Nu
2386,M,58,Doctorat,Nord-Est,Urban,7817.0,Da
2387,F,51,Facultate,Sud-Est,Urban,4946.0,Nu
2388,F,30,Liceu,Bucuresti-Ilfov,Rural,3026.0,Da
2389,M,56,Liceu,Sud-Est,Rural,4520.0,Da
2390,F,26,Profesional,Sud-Vest Oltenia,Urban,4156.0,Nu
2391,M,59,Facultate,Centru,Urban,7515.0,Nu
2392,F,40,Masterat,Vest,Rural,6148.0,Da
2393,M,28,Masterat,Sud-Vest Oltenia,Rural,4182.0,Da
2394,F,53,Profesional,Bucuresti-Ilfov,Rural,4128.0,Nu
2395,F,40,Liceu,Sud-Muntenia,Urban,3710.0,Nu
2396,F,39,Postliceal,Sud-Est,Urban,5009.0,Nu
2397,M,50,Gimnaziu,Sud-Est,Rural,3033.0,Da
2398,F,42,Liceu,Centru,Rural,3290.0,Nu
2399,F,39,Liceu,Nord-Est,Urban,2914.0,Da
2400,M,36,Postliceal,Nord-Vest,Urban,5190.0,Da
2401,M,42,Liceu,Sud-Vest Oltenia,Urban,4956.0,Da
2402,F,51,Liceu,Nord-Vest,Urban,3423.0,Nu
2403,F,24,Primar,Sud-Muntenia,Rural,2585.0,Nu
2404,F,46,Facultate,Sud-Muntenia,Urban,5013.0,Nu
2405,M,49,Facultate,Nord-Est,Rural,4608.0,Da
2406,F,18,Gimnaziu,Sud-Vest Oltenia,Urban,2539.0,Nu
2407,F,43,Masterat,Vest,Urban,6955.0,Nu
2408,F,65,Facultate,Vest,Rural,4490.0,Nu
2409,M,32,Facultate,Centru,Urban,5729.0,Nu
2410,M,37,Masterat,Bucuresti-Ilfov,Urban,8882.0,Da
2411,M,56,Facultate,Centru,Rural,5414.0,Nu
2412,M,48,Facultate,Nord-Vest,Urban,6266.0,Nu
2413,M,44,Postliceal,Sud-Muntenia,Urban,5220.0,Da
2414,M,38,Facultate,Sud-Muntenia,Rural,4831.0,Da
2415,M,48,Liceu,Sud-Vest Oltenia,Rural,3188.0,Nu
2416,M,18,Liceu,Nord-Est,Urban,2965.0,Nu
2417,M,60,Liceu,Sud-Muntenia,Urban,5202.0,Nu
2418,M,26,Liceu,Nord-Est,Urban,3265.0,Da
2419,F,20,Gimnaziu,Nord-Vest,Urban,3994.0,Da
2420,F,21,Postliceal,Sud-Muntenia,Rural,3977.0,Nu
2421,M,27,Liceu,Bucuresti-Ilfov,Urban,4569.0,Nu
2422,M,40,Liceu,Nord-Vest,Rural,4603.0,Da
2423,F,49,Primar,Bucuresti-Ilfov,Rural,4279.0,Da
2424,F,36,Liceu,Bucuresti-Ilfov,Urban,4695.0,Da
2425,F,23,Masterat,Sud-Vest Oltenia,Rural,4053.0,Nu
2426,F,47,Liceu,Sud-Muntenia,Rural,4314.0,Nu
2427,M,23,Facultate,Sud-Est,Rural,4895.0,Nu
2428,M,45,Gimnaziu,Bucuresti-Ilfov,Rural,5187.0,Da
2429,M,33,Profesional,Vest,Rural,4680.0,Nu
2430,F,42,Liceu,Nord-Est,Urban,3239.0,Da
2431,F,38,Facultate,Sud-Vest Oltenia,Rural,4812.0,Nu
2432,M,34,Postliceal,Nord-Vest,Urban,4688.0,Da
2433,M,62,Liceu,Nord-Vest,Urban,5869.0,Da
2434,F,48,Postliceal,Sud-Vest Oltenia,Urban,3705.0,Nu
2435,M,50,Masterat,Vest,Urban,7247.0,Da
2436,F,39,Postliceal,Sud-Est,Urban,4019.0,Da
2437,F,51,Gimnaziu,Vest,Urban,4088.0,Da
2438,F,45,Postliceal,Nord-Vest,Rural,3824.0,Da
